Underlying Cause of Death, 2022, age 0-19, Injury Mechanism: by Intent, Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,2013 Urbanization,2013 Urbanization Code,Deaths
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Large Central Metro,1,220
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Large Fringe Metro,2,217
,Suffocation,GRINJ-017,Suicide,2,Medium Metro,3,187
,Firearm,GRINJ-006,Homicide,3,Micropolitan (Nonmetro),5,169
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,Small Metro,4,169
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,168
,Firearm,GRINJ-006,Suicide,2,Small Metro,4,166
,Suffocation,GRINJ-017,Unintentional,1,Micropolitan (Nonmetro),5,161
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Medium Metro,3,161
,Firearm,GRINJ-006,Suicide,2,Micropolitan (Nonmetro),5,156
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Medium Metro,3,155
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Large Fringe Metro,2,154
,Suffocation,GRINJ-017,Unintentional,1,Small Metro,4,151
,Poisoning,GRINJ-015,Unintentional,1,Small Metro,4,150
,Firearm,GRINJ-006,Suicide,2,NonCore (Nonmetro),6,141
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,137
,Suffocation,GRINJ-017,Unintentional,1,NonCore (Nonmetro),6,125
,Firearm,GRINJ-006,Homicide,3,NonCore (Nonmetro),6,123
,Poisoning,GRINJ-015,Unintentional,1,Micropolitan (Nonmetro),5,121
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Medium Metro,3,114
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Large Central Metro,1,112
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Large Fringe Metro,2,111
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Large Central Metro,1,110
,Suffocation,GRINJ-017,Suicide,2,Micropolitan (Nonmetro),5,107
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,105
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Large Fringe Metro,2,102
,Drowning,GRINJ-002,Unintentional,1,Micropolitan (Nonmetro),5,100
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Large Central Metro,1,98
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,91
,Suffocation,GRINJ-017,Suicide,2,Small Metro,4,90
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,Large Central Metro,1,90
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Medium Metro,3,87
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Medium Metro,3,86
