Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,13 years,13,104,4219014,2.5
,Firearm,GRINJ-006,Suicide,2,14 years,14,106,4308273,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,12 years,12,99,4134024,2.4
,Suffocation,GRINJ-017,Suicide,2,15 years,15,107,4472392,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,8 years,8,95,4110498,2.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,83,3611883,2.3
,Suffocation,GRINJ-017,Suicide,2,14 years,14,99,4308273,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,14 years,14,97,4308273,2.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,2 years,2,81,3611883,2.2
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,9 years,9,90,4097627,2.2
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,80,3648654,2.2
,Poisoning,GRINJ-015,Unintentional,1,15 years,15,98,4472392,2.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,5 years,5,85,3896077,2.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,2 years,2,77,3611883,2.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,77,3648654,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,11 years,11,86,4089809,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,10 years,10,85,4083444,2.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,3 years,3,78,3747807,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,5 years,5,81,3896077,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,11 years,11,85,4089809,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,4 years,4,77,3808594,2.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,2 years,2,73,3611883,2.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,82,4075558,2.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,12 years,12,82,4134024,2.0
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,73,3694222,2.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,4 years,4,75,3808594,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,3 years,3,71,3747807,1.9
