Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Intestinal infections,GR113 001-003,< 1 year,0,Female,F,71,1784146,4.0
,Non-Injury: All other diseases (Residual),GR113-111,19 years,19,Female,F,70,2143573,3.3
,Non-Injury: All other diseases (Residual),GR113-111,13 years,13,Male,M,70,2161119,3.2
,Non-Injury: Septicemia,GR113-010,< 1 year,0,Female,F,69,1784146,3.9
,Non-Injury: All other diseases (Residual),GR113-111,17 years,17,Female,F,67,2146325,3.1
,Non-Injury: Intestinal infections,GR113 001-003,< 1 year,0,Male,M,67,1864508,3.6
,Poisoning,GRINJ-015,15 years,15,Male,M,67,2290485,2.9
,Non-Injury: All other diseases (Residual),GR113-111,16 years,16,Male,M,65,2287751,2.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,15 years,15,Female,F,63,2181907,2.9
,Drowning,GRINJ-002,19 years,19,Male,M,62,2241042,2.8
,Non-Injury: All other diseases (Residual),GR113-111,1 year,1,Female,F,62,1806761,3.4
,Non-Injury: All other diseases (Residual),GR113-111,15 years,15,Female,F,62,2181907,2.8
,Non-Injury: Influenza & Pneumonia,GR113 077-078,< 1 year,0,Female,F,62,1784146,3.5
,Poisoning,GRINJ-015,15 years,15,Female,F,62,2181907,2.8
,Drowning,GRINJ-002,3 years,3,Male,M,61,1915584,3.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,16 years,16,Female,F,61,2178189,2.8
,Non-Injury: Other diseases of respiratory system,GR113-089,< 1 year,0,Female,F,61,1784146,3.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,1 year,1,Female,F,60,1806761,3.3
,Drowning,GRINJ-002,18 years,18,Male,M,59,2228634,2.6
,Non-Injury: All other diseases (Residual),GR113-111,9 years,9,Male,M,58,2098259,2.8
,Non-Injury: All other diseases (Residual),GR113-111,14 years,14,Male,M,58,2205676,2.6
,Suffocation,GRINJ-017,14 years,14,Female,F,58,2102597,2.8
,Suffocation,GRINJ-017,15 years,15,Male,M,58,2290485,2.5
,Unspecified Injury,GRINJ-020,< 1 year,0,Female,F,58,1784146,3.3
