Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,2013 Urbanization,2013 Urbanization Code,Deaths
,Unspecified Injury,GRINJ-020,Medium Metro,3,83
,Non-Injury: Diseases of Heart,GR113 055-068,Small Metro,4,75
,Non-Injury: Septicemia,GR113-010,Large Fringe Metro,2,74
,Drowning,GRINJ-002,NonCore (Nonmetro),6,71
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Medium Metro,3,71
,"Other specified, classifiable Injury",GRINJ-018,Large Central Metro,1,70
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Small Metro,4,70
,Fire/Flame,GRINJ-004,Medium Metro,3,65
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Large Fringe Metro,2,65
,Non-Injury: Diseases of Heart,GR113 055-068,NonCore (Nonmetro),6,63
,Unspecified Injury,GRINJ-020,Large Fringe Metro,2,61
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Micropolitan (Nonmetro),5,58
,Other land transport,GRINJ-011,Medium Metro,3,57
,Fire/Flame,GRINJ-004,Large Fringe Metro,2,53
,Non-Injury: Intestinal infections,GR113 001-003,Large Central Metro,1,52
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Large Fringe Metro,2,51
,Other land transport,GRINJ-011,Large Fringe Metro,2,50
,"Other specified, classifiable Injury",GRINJ-018,Medium Metro,3,50
,"Other specified, not elsewhere classified Injury",GRINJ-019,Large Central Metro,1,49
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Micropolitan (Nonmetro),5,49
,Cut/Pierce,GRINJ-001,Large Central Metro,1,48
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Small Metro,4,48
,Other land transport,GRINJ-011,NonCore (Nonmetro),6,47
,Non-Injury: Intestinal infections,GR113 001-003,Medium Metro,3,47
,Fire/Flame,GRINJ-004,Micropolitan (Nonmetro),5,45
,Other land transport,GRINJ-011,Micropolitan (Nonmetro),5,45
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,NonCore (Nonmetro),6,45
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Large Fringe Metro,2,45
,Non-Injury: Diabetes mellitus,GR113-046,Large Central Metro,1,45
,Fall,GRINJ-003,Large Fringe Metro,2,42
,"Other specified, classifiable Injury",GRINJ-018,Large Fringe Metro,2,42
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Medium Metro,3,42
,"Other specified, not elsewhere classified Injury",GRINJ-019,Medium Metro,3,41
,Unspecified Injury,GRINJ-020,Micropolitan (Nonmetro),5,41
,Fall,GRINJ-003,Medium Metro,3,40
,Non-Injury: Intestinal infections,GR113 001-003,Large Fringe Metro,2,40
,Non-Injury: Influenza & Pneumonia,GR113 077-078,NonCore (Nonmetro),6,39
,Non-Injury: Other diseases of respiratory system,GR113-089,Small Metro,4,39
,Unspecified Injury,GRINJ-020,Small Metro,4,38
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Large Central Metro,1,38
,Fire/Flame,GRINJ-004,Small Metro,4,36
,Cut/Pierce,GRINJ-001,Medium Metro,3,35
,Other land transport,GRINJ-011,Small Metro,4,34
,Non-Injury: Septicemia,GR113-010,Small Metro,4,34
