Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Suffocation,GRINJ-017,1 year,1,79,3694222,2.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,3 years,3,78,3747807,2.1
,Poisoning,GRINJ-015,< 1 year,0,78,3648654,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,10 years,10,77,4083444,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,4 years,4,77,3808594,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,2 years,2,77,3611883,2.1
,Motor Vehicle Traffic,GRINJ-008,< 1 year,0,77,3648654,2.1
,Drowning,GRINJ-002,4 years,4,75,3808594,2.0
,Non-Injury: All other diseases (Residual),GR113-111,4 years,4,75,3808594,2.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,19 years,19,73,4384615,1.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,2 years,2,73,3611883,2.0
,Poisoning,GRINJ-015,14 years,14,71,4308273,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,9 years,9,71,4097627,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,3 years,3,71,3747807,1.9
,Non-Injury: All other diseases (Residual),GR113-111,12 years,12,70,4134024,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,6 years,6,70,3972997,1.8
,Non-Injury: All other diseases (Residual),GR113-111,6 years,6,70,3972997,1.8
,Non-Injury: All other diseases (Residual),GR113-111,8 years,8,69,4110498,1.7
,Motor Vehicle Traffic,GRINJ-008,3 years,3,69,3747807,1.8
,Drowning,GRINJ-002,18 years,18,68,4357485,1.6
,Non-Injury: Diseases of Heart,GR113 055-068,18 years,18,67,4357485,1.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,7 years,7,66,4075558,1.6
,Non-Injury: Diseases of Heart,GR113 055-068,1 year,1,66,3694222,1.8
,Drowning,GRINJ-002,19 years,19,65,4384615,1.5
,Firearm,GRINJ-006,12 years,12,64,4134024,1.5
,Motor Vehicle Traffic,GRINJ-008,11 years,11,64,4089809,1.6
,Motor Vehicle Traffic,GRINJ-008,7 years,7,62,4075558,1.5
,Non-Injury: Diseases of Heart,GR113 055-068,17 years,17,60,4395048,1.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,18 years,18,59,4357485,1.4
,Motor Vehicle Traffic,GRINJ-008,9 years,9,59,4097627,1.4
,Motor Vehicle Traffic,GRINJ-008,4 years,4,59,3808594,1.5
,Non-Injury: Meningitis,GR113-050,< 1 year,0,59,3648654,1.6
,"Other specified, classifiable Injury",GRINJ-018,< 1 year,0,58,3648654,1.6
,Motor Vehicle Traffic,GRINJ-008,10 years,10,57,4083444,1.4
,Drowning,GRINJ-002,5 years,5,57,3896077,1.5
,Non-Injury: Influenza & Pneumonia,GR113 077-078,1 year,1,56,3694222,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,18 years,18,54,4357485,1.2
,Suffocation,GRINJ-017,12 years,12,54,4134024,1.3
,Motor Vehicle Traffic,GRINJ-008,5 years,5,53,3896077,1.4
,Poisoning,GRINJ-015,2 years,2,53,3611883,1.5
,Motor Vehicle Traffic,GRINJ-008,8 years,8,52,4110498,1.3
,Drowning,GRINJ-002,< 1 year,0,52,3648654,1.4
,Fall,GRINJ-003,19 years,19,51,4384615,1.2
,Motor Vehicle Traffic,GRINJ-008,6 years,6,51,3972997,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,16 years,16,50,4465940,1.1
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,2 years,2,48,3611883,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,14 years,14,47,4308273,1.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,< 1 year,0,47,3648654,1.3
,Drowning,GRINJ-002,17 years,17,46,4395048,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,7 years,7,45,4075558,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,4 years,4,45,3808594,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,5 years,5,44,3896077,1.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,1 year,1,44,3694222,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,19 years,19,43,4384615,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,6 years,6,43,3972997,1.1
,Non-Injury: Diseases of Heart,GR113 055-068,16 years,16,42,4465940,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,10 years,10,42,4083444,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,8 years,8,42,4110498,1.0
,Suffocation,GRINJ-017,2 years,2,41,3611883,1.1
,Non-Injury: Other diseases of respiratory system,GR113-089,1 year,1,41,3694222,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,17 years,17,40,4395048,0.9
,Firearm,GRINJ-006,3 years,3,40,3747807,1.1
,Drowning,GRINJ-002,16 years,16,39,4465940,0.9
,Unspecified Injury,GRINJ-020,1 year,1,39,3694222,1.1
,Drowning,GRINJ-002,6 years,6,38,3972997,1.0
,Fall,GRINJ-003,18 years,18,37,4357485,0.8
,Firearm,GRINJ-006,11 years,11,37,4089809,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,15 years,15,36,4472392,0.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,15 years,15,36,4472392,0.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,13 years,13,36,4219014,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,12 years,12,36,4134024,0.9
,Suffocation,GRINJ-017,11 years,11,36,4089809,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,9 years,9,36,4097627,0.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,1 year,1,36,3694222,1.0
,Firearm,GRINJ-006,10 years,10,35,4083444,0.9
,Non-Injury: Influenza & Pneumonia,GR113 077-078,2 years,2,35,3611883,1.0
,Drowning,GRINJ-002,15 years,15,34,4472392,0.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,17 years,17,32,4395048,0.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,16 years,16,32,4465940,0.7
,Unspecified Injury,GRINJ-020,2 years,2,32,3611883,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,2 years,2,32,3611883,0.9
,Fall,GRINJ-003,17 years,17,31,4395048,0.7
,Other land transport,GRINJ-011,17 years,17,31,4395048,0.7
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,11 years,11,31,4089809,0.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,4 years,4,31,3808594,0.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,3 years,3,31,3747807,0.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,3 years,3,31,3747807,0.8
,Firearm,GRINJ-006,2 years,2,31,3611883,0.9
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,< 1 year,0,31,3648654,0.8
,Other land transport,GRINJ-011,19 years,19,30,4384615,0.7
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,6 years,6,30,3972997,0.8
,Firearm,GRINJ-006,4 years,4,29,3808594,0.8
,Non-Injury: Influenza & Pneumonia,GR113 077-078,3 years,3,29,3747807,0.8
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,< 1 year,0,29,3648654,0.8
,Fire/Flame,GRINJ-004,3 years,3,28,3747807,0.7
,Fire/Flame,GRINJ-004,2 years,2,28,3611883,0.8
,Cut/Pierce,GRINJ-001,19 years,19,27,4384615,0.6
,Poisoning,GRINJ-015,3 years,3,27,3747807,0.7
