Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Gender
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,Male,M,19,41728672,Unreliable
,Non-Injury: Other disorders of circulatory system,GR113-075,Female,F,16,39845289,Unreliable
,Non-Injury: Nutritional Deficiencies,GR113 048-049,Male,M,15,41728672,Unreliable
,Non-Injury: Other disorders of circulatory system,GR113-075,Male,M,13,41728672,Unreliable
,Other transport,GRINJ-012,Female,F,11,39845289,Unreliable
---,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,,,
Query Parameters:,,,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,,,
Year/Month: 2023,,,,,,,
Group By: Injury Mechanism & All Other Leading Causes; Sex,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Apr 26, 2025 7:16:29 PM",,,,,,,
---,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 26, 2025 7:16:29 PM",,,,,,,
---,,,,,,,
Messages:,,,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,
