Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Poisoning,GRINJ-015,Undetermined ,4,1 year,1,Female,F,24,1806761,1.3
,Drowning,GRINJ-002,Unintentional,1,6 years,6,Male,M,27,2032840,1.3
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,Female,F,28,2128851,1.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,2 years,2,Female,F,23,1764724,1.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,10 years,10,Female,F,26,1996583,1.3
,Fall,GRINJ-003,Suicide,2,19 years,19,Male,M,29,2241042,1.3
,Suffocation,GRINJ-017,Suicide,2,12 years,12,Female,F,26,2013129,1.3
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,12 years,12,Female,F,26,2013129,1.3
,Drowning,GRINJ-002,Unintentional,1,< 1 year,0,Female,F,23,1784146,1.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,Female,F,24,1863907,1.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1 year,1,Female,F,23,1806761,1.3
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,Male,M,24,1887461,1.3
,Firearm,GRINJ-006,Homicide,3,14 years,14,Female,F,26,2102597,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,12 years,12,Male,M,26,2120895,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,16 years,16,Male,M,28,2287751,1.2
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,19 years,19,Female,F,26,2143573,1.2
,Suffocation,GRINJ-017,Suicide,2,13 years,13,Male,M,26,2161119,1.2
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,2 years,2,Female,F,21,1764724,1.2
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,6 years,6,Male,M,24,2032840,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,14 years,14,Male,M,26,2205676,1.2
,Firearm,GRINJ-006,Homicide,3,12 years,12,Male,M,25,2120895,1.2
,Firearm,GRINJ-006,Suicide,2,18 years,18,Female,F,25,2128851,1.2
,Poisoning,GRINJ-015,Homicide,3,1 year,1,Male,M,22,1887461,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,19 years,19,Male,M,26,2241042,1.2
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,8 years,8,Female,F,23,2010922,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,8 years,8,Male,M,24,2099576,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,18 years,18,Female,F,24,2128851,1.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,Female,F,24,2128851,1.1
,Firearm,GRINJ-006,Suicide,2,17 years,17,Female,F,24,2146325,1.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1 year,1,Male,M,21,1887461,1.1
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,1 year,1,Male,M,21,1887461,1.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,Female,F,21,1904677,1.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,Female,F,22,1999368,1.1
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,3 years,3,Male,M,21,1915584,1.1
,Drowning,GRINJ-002,Unintentional,1,4 years,4,Female,F,20,1863907,1.1
,Suffocation,GRINJ-017,Undetermined ,4,< 1 year,0,Male,M,20,1864508,1.1
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,20,1864508,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,17 years,17,Male,M,24,2248723,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,10 years,10,Female,F,21,1996583,1.1
,Drowning,GRINJ-002,Unintentional,1,15 years,15,Male,M,24,2290485,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,16 years,16,Female,F,22,2178189,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,10 years,10,Male,M,21,2086861,1.0
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,15 years,15,Male,M,23,2290485,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,14 years,14,Female,F,21,2102597,1.0
,Firearm,GRINJ-006,Suicide,2,19 years,19,Female,F,21,2143573,1.0
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,16 years,16,Female,F,21,2178189,1.0
,Firearm,GRINJ-006,Suicide,2,15 years,15,Female,F,21,2181907,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,9 years,9,Male,M,20,2098259,1.0
,Poisoning,GRINJ-015,Suicide,2,14 years,14,Female,F,20,2102597,1.0
,Poisoning,GRINJ-015,Suicide,2,18 years,18,Female,F,20,2128851,0.9
,Poisoning,GRINJ-015,Suicide,2,17 years,17,Female,F,20,2146325,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,17 years,17,Female,F,20,2146325,0.9
,Drowning,GRINJ-002,Unintentional,1,13 years,13,Male,M,20,2161119,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,16 years,16,Male,M,21,2287751,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,15 years,15,Male,M,21,2290485,0.9
,Poisoning,GRINJ-015,Suicide,2,15 years,15,Female,F,20,2181907,0.9
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,17 years,17,Male,M,20,2248723,0.9
,Cut/Pierce,GRINJ-001,Homicide,3,16 years,16,Male,M,14,2287751,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,17 years,17,Male,M,12,2248723,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,18 years,18,Male,M,19,2228634,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,19 years,19,Male,M,16,2241042,Unreliable
,Drowning,GRINJ-002,Unintentional,1,5 years,5,Female,F,17,1904677,Unreliable
,Drowning,GRINJ-002,Unintentional,1,7 years,7,Male,M,10,2082645,Unreliable
,Drowning,GRINJ-002,Unintentional,1,8 years,8,Male,M,16,2099576,Unreliable
,Drowning,GRINJ-002,Unintentional,1,12 years,12,Male,M,13,2120895,Unreliable
,Drowning,GRINJ-002,Unintentional,1,14 years,14,Male,M,16,2205676,Unreliable
,Fall,GRINJ-003,Unintentional,1,17 years,17,Male,M,11,2248723,Unreliable
,Fall,GRINJ-003,Unintentional,1,19 years,19,Male,M,14,2241042,Unreliable
,Fall,GRINJ-003,Suicide,2,16 years,16,Male,M,10,2287751,Unreliable
,Fall,GRINJ-003,Suicide,2,17 years,17,Male,M,12,2248723,Unreliable
,Fall,GRINJ-003,Suicide,2,18 years,18,Male,M,18,2228634,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,1 year,1,Female,F,12,1806761,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,2 years,2,Male,M,13,1847159,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,3 years,3,Female,F,13,1832223,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,3 years,3,Male,M,10,1915584,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,4 years,4,Male,M,15,1944687,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,5 years,5,Female,F,11,1904677,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,7 years,7,Male,M,11,2082645,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,13 years,13,Male,M,11,2161119,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,14 years,14,Female,F,11,2102597,Unreliable
,Firearm,GRINJ-006,Unintentional,1,3 years,3,Male,M,16,1915584,Unreliable
,Firearm,GRINJ-006,Unintentional,1,15 years,15,Male,M,16,2290485,Unreliable
,Firearm,GRINJ-006,Suicide,2,12 years,12,Male,M,11,2120895,Unreliable
,Firearm,GRINJ-006,Suicide,2,14 years,14,Female,F,19,2102597,Unreliable
,Firearm,GRINJ-006,Homicide,3,3 years,3,Male,M,10,1915584,Unreliable
,Firearm,GRINJ-006,Homicide,3,4 years,4,Male,M,10,1944687,Unreliable
,Firearm,GRINJ-006,Homicide,3,6 years,6,Male,M,12,2032840,Unreliable
,Firearm,GRINJ-006,Homicide,3,7 years,7,Male,M,13,2082645,Unreliable
,Firearm,GRINJ-006,Homicide,3,8 years,8,Male,M,12,2099576,Unreliable
,Firearm,GRINJ-006,Homicide,3,9 years,9,Female,F,12,1999368,Unreliable
,Firearm,GRINJ-006,Homicide,3,9 years,9,Male,M,11,2098259,Unreliable
,Firearm,GRINJ-006,Homicide,3,10 years,10,Male,M,19,2086861,Unreliable
,Firearm,GRINJ-006,Homicide,3,11 years,11,Female,F,11,1996442,Unreliable
,Firearm,GRINJ-006,Homicide,3,11 years,11,Male,M,12,2093367,Unreliable
,Firearm,GRINJ-006,Homicide,3,12 years,12,Female,F,11,2013129,Unreliable
,Firearm,GRINJ-006,Homicide,3,13 years,13,Female,F,18,2057895,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,16 years,16,Male,M,13,2287751,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,17 years,17,Male,M,10,2248723,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,18 years,18,Male,M,14,2228634,Unreliable
,Firearm,GRINJ-006,Legal Intervention / Operations of War,5,17 years,17,Male,M,10,2248723,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,11 years,11,Male,M,15,2093367,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,12 years,12,Male,M,10,2120895,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,13 years,13,Male,M,15,2161119,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,14 years,14,Male,M,16,2205676,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,16 years,16,Male,M,12,2287751,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,17 years,17,Male,M,13,2248723,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,18 years,18,Male,M,11,2228634,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,19 years,19,Male,M,15,2241042,Unreliable
,Natural/Environmental,GRINJ-013,Unintentional,1,1 year,1,Female,F,13,1806761,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,< 1 year,0,Female,F,14,1784146,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,< 1 year,0,Male,M,13,1864508,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,1 year,1,Female,F,19,1806761,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,1 year,1,Male,M,17,1887461,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,2 years,2,Female,F,11,1764724,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,2 years,2,Male,M,12,1847159,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,13 years,13,Male,M,10,2161119,Unreliable
,Poisoning,GRINJ-015,Suicide,2,16 years,16,Female,F,17,2178189,Unreliable
,Poisoning,GRINJ-015,Suicide,2,16 years,16,Male,M,17,2287751,Unreliable
,Poisoning,GRINJ-015,Suicide,2,17 years,17,Male,M,19,2248723,Unreliable
,Poisoning,GRINJ-015,Homicide,3,< 1 year,0,Male,M,15,1864508,Unreliable
,Poisoning,GRINJ-015,Homicide,3,1 year,1,Female,F,10,1806761,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,< 1 year,0,Female,F,15,1784146,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,< 1 year,0,Male,M,12,1864508,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,1 year,1,Male,M,16,1887461,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,2 years,2,Male,M,14,1847159,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,17 years,17,Male,M,10,2248723,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,18 years,18,Male,M,13,2228634,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,19 years,19,Female,F,13,2143573,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,19 years,19,Male,M,10,2241042,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,3 years,3,Male,M,10,1915584,Unreliable
,Suffocation,GRINJ-017,Suicide,2,11 years,11,Female,F,13,1996442,Unreliable
,Suffocation,GRINJ-017,Suicide,2,11 years,11,Male,M,10,2093367,Unreliable
,Suffocation,GRINJ-017,Suicide,2,12 years,12,Male,M,13,2120895,Unreliable
,Suffocation,GRINJ-017,Homicide,3,< 1 year,0,Male,M,12,1864508,Unreliable
,Suffocation,GRINJ-017,Undetermined ,4,< 1 year,0,Female,F,11,1784146,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,Suicide,2,18 years,18,Male,M,10,2228634,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,1 year,1,Male,M,12,1887461,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,1 year,1,Female,F,12,1806761,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,1 year,1,Male,M,15,1887461,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,2 years,2,Female,F,12,1764724,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,2 years,2,Male,M,13,1847159,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,3 years,3,Male,M,10,1915584,Unreliable
,Unspecified Injury,GRINJ-020,Undetermined ,4,< 1 year,0,Female,F,12,1784146,Unreliable
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,1 year,1,Female,F,15,1806761,Unreliable
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,4 years,4,Male,M,10,1944687,Unreliable
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,5 years,5,Male,M,10,1991400,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,3 years,3,Female,F,10,1832223,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,4 years,4,Female,F,17,1863907,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,4 years,4,Male,M,14,1944687,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,5 years,5,Male,M,15,1991400,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,6 years,6,Female,F,16,1940157,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,6 years,6,Male,M,14,2032840,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,7 years,7,Male,M,13,2082645,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,10 years,10,Male,M,12,2086861,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,14 years,14,Male,M,10,2205676,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,15 years,15,Female,F,10,2181907,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,15 years,15,Male,M,10,2290485,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,16 years,16,Male,M,10,2287751,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,18 years,18,Male,M,14,2228634,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,18,1784146,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,15,1784146,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,14,1864508,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,14 years,14,Female,F,10,2102597,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,18 years,18,Female,F,15,2128851,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,18 years,18,Male,M,11,2228634,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,19 years,19,Male,M,17,2241042,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,2 years,2,Female,F,14,1764724,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,2 years,2,Male,M,18,1847159,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,3 years,3,Male,M,13,1915584,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,5 years,5,Female,F,14,1904677,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,7 years,7,Male,M,10,2082645,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,10 years,10,Male,M,10,2086861,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,12 years,12,Female,F,13,2013129,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,12 years,12,Male,M,11,2120895,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,13 years,13,Male,M,15,2161119,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,14 years,14,Female,F,13,2102597,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,14 years,14,Male,M,12,2205676,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,15 years,15,Female,F,13,2181907,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,1 year,1,Female,F,10,1806761,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,11 years,11,Male,M,11,2093367,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,14 years,14,Female,F,11,2102597,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,16 years,16,Male,M,11,2287751,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,19 years,19,Female,F,10,2143573,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,1 year,1,Female,F,19,1806761,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,2 years,2,Female,F,17,1764724,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,2 years,2,Male,M,18,1847159,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,3 years,3,Female,F,15,1832223,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,3 years,3,Male,M,14,1915584,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,4 years,4,Male,M,13,1944687,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,9 years,9,Female,F,12,1999368,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,14 years,14,Female,F,10,2102597,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,17 years,17,Female,F,10,2146325,Unreliable
,Non-Injury: Other acute lower respiratory infections,GR113 079,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,11,1784146,Unreliable
,Non-Injury: Other acute lower respiratory infections,GR113 079,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,11,1864508,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,9 years,9,Male,M,11,2098259,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,12 years,12,Male,M,10,2120895,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,16 years,16,Male,M,14,2287751,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,17 years,17,Male,M,10,2248723,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,18 years,18,Male,M,14,2228634,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,19 years,19,Male,M,14,2241042,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,Female,F,17,1806761,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,2 years,2,Female,F,18,1764724,Unreliable
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,11,1784146,Unreliable
,"Non-Injury: Other complications of pregnancy, childbirth and the puerperium",GR113-107,"Non-Injury, no intent classified",9,19 years,19,Female,F,12,2143573,Unreliable
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,1 year,1,Female,F,15,1806761,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,4 years,4,Female,F,18,1863907,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5 years,5,Female,F,16,1904677,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,6 years,6,Male,M,15,2032840,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,7 years,7,Female,F,17,1992913,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,8 years,8,Female,F,18,2010922,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,9 years,9,Female,F,16,1999368,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,11 years,11,Female,F,17,1996442,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,11 years,11,Male,M,14,2093367,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,12 years,12,Female,F,10,2013129,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,13 years,13,Female,F,19,2057895,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,13 years,13,Male,M,17,2161119,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,15 years,15,Female,F,15,2181907,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,17 years,17,Female,F,16,2146325,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,19 years,19,Female,F,17,2143573,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,3 years,3,Female,F,14,1832223,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,3 years,3,Male,M,17,1915584,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,4 years,4,Female,F,14,1863907,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,4 years,4,Male,M,11,1944687,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,6 years,6,Male,M,11,2032840,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,13 years,13,Male,M,12,2161119,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,16 years,16,Female,F,19,2178189,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,16 years,16,Male,M,13,2287751,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,17 years,17,Female,F,12,2146325,Unreliable
---,,,,,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,,,,,,,
Query Parameters:,,,,,,,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,,,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,,,,,,,
Year/Month: 2023,,,,,,,,,,,
Group By: Injury Mechanism & All Other Leading Causes; Injury Intent; Single-Year Ages; Sex,,,,,,,,,,,
Show Totals: Disabled,,,,,,,,,,,
