Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,71,1784146,4.0
,Firearm,GRINJ-006,Suicide,2,14 years,14,Male,M,87,2205676,3.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,17 years,17,Male,M,88,2248723,3.9
,Suffocation,GRINJ-017,Suicide,2,16 years,16,Male,M,89,2287751,3.9
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,69,1784146,3.9
,Poisoning,GRINJ-015,Unintentional,1,17 years,17,Female,F,83,2146325,3.9
,Suffocation,GRINJ-017,Suicide,2,18 years,18,Male,M,86,2228634,3.9
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,Male,M,69,1864508,3.7
,Suffocation,GRINJ-017,Suicide,2,17 years,17,Male,M,83,2248723,3.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,19 years,19,Male,M,82,2241042,3.7
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,67,1864508,3.6
,Firearm,GRINJ-006,Homicide,3,18 years,18,Female,F,76,2128851,3.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,Male,M,76,2161119,3.5
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,62,1784146,3.5
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,1 year,1,Female,F,62,1806761,3.4
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,61,1784146,3.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,18 years,18,Male,M,75,2228634,3.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,1 year,1,Female,F,60,1806761,3.3
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,19 years,19,Female,F,70,2143573,3.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,15 years,15,Female,F,71,2181907,3.3
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,Male,M,70,2161119,3.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,16 years,16,Male,M,74,2287751,3.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,15 years,15,Male,M,72,2290485,3.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,17 years,17,Female,F,67,2146325,3.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,15 years,15,Male,M,71,2290485,3.1
,Drowning,GRINJ-002,Unintentional,1,3 years,3,Male,M,58,1915584,3.0
,Poisoning,GRINJ-015,Unintentional,1,16 years,16,Female,F,64,2178189,2.9
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,2 years,2,Male,M,54,1847159,2.9
