Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Fire/Flame,GRINJ-004,White,2106-3,Female,F,101,28069688,0.4
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Black or African American,2054-5,Male,M,100,6401519,1.6
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,White,2106-3,Female,F,100,28069688,0.4
,Non-Injury: Septicemia,GR113-010,White,2106-3,Female,F,97,28069688,0.3
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,White,2106-3,Male,M,95,29519218,0.3
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Black or African American,2054-5,Male,M,93,6401519,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Asian,A,Male,M,92,2477040,3.7
,"Other specified, classifiable Injury",GRINJ-018,White,2106-3,Male,M,89,29519218,0.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Asian,A,Female,F,85,2357677,3.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,More than one race,M,Female,F,85,2370648,3.6
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Black or African American,2054-5,Female,F,80,6224035,1.3
,Suffocation,GRINJ-017,More than one race,M,Male,M,78,2473608,3.2
,Motor Vehicle Traffic,GRINJ-008,More than one race,M,Male,M,74,2473608,3.0
,Drowning,GRINJ-002,Black or African American,2054-5,Female,F,73,6224035,1.2
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Black or African American,2054-5,Male,M,73,6401519,1.1
,Unspecified Injury,GRINJ-020,Black or African American,2054-5,Male,M,70,6401519,1.1
,Non-Injury: All other diseases (Residual),GR113-111,Asian,A,Male,M,69,2477040,2.8
,Firearm,GRINJ-006,Asian,A,Male,M,64,2477040,2.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Black or African American,2054-5,Female,F,64,6224035,1.0
,Poisoning,GRINJ-015,More than one race,M,Male,M,63,2473608,2.5
,Non-Injury: All other diseases (Residual),GR113-111,Asian,A,Female,F,62,2357677,2.6
,Non-Injury: Other diseases of respiratory system,GR113-089,Black or African American,2054-5,Male,M,62,6401519,1.0
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,White,2106-3,Male,M,61,29519218,0.2
,Suffocation,GRINJ-017,More than one race,M,Female,F,60,2370648,2.5
,Cut/Pierce,GRINJ-001,White,2106-3,Male,M,60,29519218,0.2
,Non-Injury: All other diseases (Residual),GR113-111,More than one race,M,Male,M,58,2473608,2.3
,Unspecified Injury,GRINJ-020,Black or African American,2054-5,Female,F,58,6224035,0.9
,Unspecified Injury,GRINJ-020,White,2106-3,Female,F,58,28069688,0.2
,Other land transport,GRINJ-011,White,2106-3,Female,F,57,28069688,0.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,American Indian or Alaska Native,1002-5,Male,M,56,715993,7.8
,Motor Vehicle Traffic,GRINJ-008,American Indian or Alaska Native,1002-5,Male,M,55,715993,7.7
,Other Pedestrian,GRINJ-010,White,2106-3,Male,M,55,29519218,0.2
,"Other specified, classifiable Injury",GRINJ-018,White,2106-3,Female,F,54,28069688,0.2
,Non-Injury: Septicemia,GR113-010,Black or African American,2054-5,Male,M,52,6401519,0.8
,Non-Injury: Chronic lower respiratory diseases,GR113 082,White,2106-3,Male,M,52,29519218,0.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,American Indian or Alaska Native,1002-5,Female,F,51,687498,7.4
,Struck by or against,GRINJ-016,White,2106-3,Male,M,50,29519218,0.2
,Non-Injury: Septicemia,GR113-010,Black or African American,2054-5,Female,F,49,6224035,0.8
,Firearm,GRINJ-006,American Indian or Alaska Native,1002-5,Male,M,48,715993,6.7
,"Other specified, not elsewhere classified Injury",GRINJ-019,White,2106-3,Male,M,48,29519218,0.2
,Non-Injury: Intestinal infections,GR113 001-003,White,2106-3,Male,M,48,29519218,0.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Asian,A,Male,M,47,2477040,1.9
,Non-Injury: All other diseases (Residual),GR113-111,More than one race,M,Female,F,46,2370648,1.9
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Black or African American,2054-5,Male,M,46,6401519,0.7
,Motor Vehicle Traffic,GRINJ-008,Asian,A,Male,M,45,2477040,1.8
,Non-Injury: Intestinal infections,GR113 001-003,White,2106-3,Female,F,45,28069688,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,White,2106-3,Female,F,45,28069688,0.2
,Non-Injury: Other diseases of respiratory system,GR113-089,Black or African American,2054-5,Female,F,44,6224035,0.7
,Motor Vehicle Traffic,GRINJ-008,More than one race,M,Female,F,42,2370648,1.8
,Non-Injury: Diabetes mellitus,GR113-046,White,2106-3,Male,M,42,29519218,0.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Asian,A,Female,F,41,2357677,1.7
,Fire/Flame,GRINJ-004,Black or African American,2054-5,Male,M,41,6401519,0.6
,Fire/Flame,GRINJ-004,Black or African American,2054-5,Female,F,39,6224035,0.6
,Non-Injury: Meningitis,GR113-050,White,2106-3,Male,M,39,29519218,0.1
,Motor Vehicle Traffic,GRINJ-008,American Indian or Alaska Native,1002-5,Female,F,38,687498,5.5
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Black or African American,2054-5,Female,F,38,6224035,0.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,More than one race,M,Female,F,37,2370648,1.6
,Suffocation,GRINJ-017,Asian,A,Male,M,37,2477040,1.5
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Black or African American,2054-5,Female,F,37,6224035,0.6
,Cut/Pierce,GRINJ-001,Black or African American,2054-5,Male,M,37,6401519,0.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,More than one race,M,Male,M,36,2473608,1.5
,Non-Injury: Chronic lower respiratory diseases,GR113 082,White,2106-3,Female,F,36,28069688,0.1
,Suffocation,GRINJ-017,American Indian or Alaska Native,1002-5,Female,F,35,687498,5.1
,Poisoning,GRINJ-015,More than one race,M,Female,F,35,2370648,1.5
,Non-Injury: Intestinal infections,GR113 001-003,Black or African American,2054-5,Female,F,35,6224035,0.6
,Natural/Environmental,GRINJ-013,White,2106-3,Male,M,35,29519218,0.1
,Poisoning,GRINJ-015,American Indian or Alaska Native,1002-5,Male,M,34,715993,4.7
,Suffocation,GRINJ-017,American Indian or Alaska Native,1002-5,Male,M,34,715993,4.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,American Indian or Alaska Native,1002-5,Male,M,34,715993,4.7
,"Other specified, classifiable Injury",GRINJ-018,Black or African American,2054-5,Male,M,33,6401519,0.5
,Non-Injury: Intestinal infections,GR113 001-003,Black or African American,2054-5,Male,M,33,6401519,0.5
,Other transport,GRINJ-012,White,2106-3,Male,M,32,29519218,0.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,American Indian or Alaska Native,1002-5,Female,F,31,687498,4.5
,Firearm,GRINJ-006,More than one race,M,Female,F,31,2370648,1.3
,"Other specified, not elsewhere classified Injury",GRINJ-019,Black or African American,2054-5,Male,M,31,6401519,0.5
,Fall,GRINJ-003,White,2106-3,Female,F,31,28069688,0.1
,Natural/Environmental,GRINJ-013,White,2106-3,Female,F,31,28069688,0.1
,Drowning,GRINJ-002,Asian,A,Male,M,30,2477040,1.2
,Suffocation,GRINJ-017,Asian,A,Female,F,29,2357677,1.2
,Drowning,GRINJ-002,More than one race,M,Male,M,29,2473608,1.2
,"Other specified, classifiable Injury",GRINJ-018,Black or African American,2054-5,Female,F,29,6224035,0.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,American Indian or Alaska Native,1002-5,Female,F,28,687498,4.1
,Non-Injury: Diabetes mellitus,GR113-046,Black or African American,2054-5,Female,F,28,6224035,0.4
,Fall,GRINJ-003,Black or African American,2054-5,Male,M,28,6401519,0.4
,"Other specified, not elsewhere classified Injury",GRINJ-019,White,2106-3,Female,F,27,28069688,0.1
,Non-Injury: Meningitis,GR113-050,White,2106-3,Female,F,27,28069688,0.1
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,White,2106-3,Male,M,27,29519218,0.1
,Non-Injury: Anemias,GR113-045,Black or African American,2054-5,Male,M,26,6401519,0.4
,Machinery,GRINJ-007,White,2106-3,Male,M,26,29519218,0.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Asian,A,Male,M,25,2477040,1.0
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,24,141294,17.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,American Indian or Alaska Native,1002-5,Male,M,24,715993,3.4
,Poisoning,GRINJ-015,Asian,A,Male,M,24,2477040,1.0
,Non-Injury: Diabetes mellitus,GR113-046,White,2106-3,Female,F,24,28069688,0.1
,Non-Injury: All other diseases (Residual),GR113-111,American Indian or Alaska Native,1002-5,Male,M,23,715993,3.2
,Poisoning,GRINJ-015,American Indian or Alaska Native,1002-5,Female,F,22,687498,3.2
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,More than one race,M,Male,M,22,2473608,0.9
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Asian,A,Male,M,22,2477040,0.9
,Non-Injury: Diabetes mellitus,GR113-046,Black or African American,2054-5,Male,M,22,6401519,0.3
,Non-Injury: Diseases of Heart,GR113 055-068,Asian,A,Female,F,21,2357677,0.9
,Non-Injury: Complications of medical and surgical care,GR113-135,White,2106-3,Male,M,21,29519218,0.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Asian,A,Female,F,20,2357677,0.8
,Non-Injury: Anemias,GR113-045,Black or African American,2054-5,Female,F,20,6224035,0.3
,"Non-Injury: Other complications of pregnancy, childbirth and the puerperium",GR113-107,White,2106-3,Female,F,20,28069688,0.1
,Other Pedal cyclist,GRINJ-009,White,2106-3,Male,M,20,29519218,0.1
,Non-Injury: Anemias,GR113-045,White,2106-3,Male,M,20,29519218,0.1
